run_id,pullback_pct,tp_pct,sl_pct,hold_days,rsi_long_max,rsi_short_min,trades,long_trades,short_trades,win_rate,avg_return,median_return,total_return_sum,profit_factor,final_equity,total_equity_return,max_drawdown,score,wf_id
411,0.005,0.006,0.008,5,40,60,23,16,7,0.652174,0.00168239,0.00592154,0.03869492,1.864001,101163.85,0.01163845,-0.00526042,0.02425399,4
176,0.003,0.008,0.006,9,40,55,69,15,54,0.492754,0.00108934,-0.00019287,0.07516414,1.385888,102265.36,0.02265363,-0.01211926,0.02385158,4
78,0.003,0.006,0.008,4,40,60,23,16,7,0.695652,0.00163575,0.00293771,0.03762217,2.005874,101132.02,0.01132021,-0.00482694,0.02381612,4
402,0.005,0.006,0.008,4,40,60,23,16,7,0.695652,0.00163575,0.00293771,0.03762217,2.005874,101132.02,0.01132021,-0.00482694,0.02381612,4
807,0.007,0.008,0.006,5,40,60,20,14,6,0.55,0.00174446,0.0040419,0.03488915,1.781306,101048.26,0.01048262,-0.00532094,0.02367045,4
186,0.003,0.008,0.008,4,40,60,22,15,7,0.636364,0.00164765,0.00278083,0.03624836,1.845407,101089.53,0.01089526,-0.00482694,0.02351023,4
510,0.005,0.008,0.008,4,40,60,22,15,7,0.636364,0.00164765,0.00278083,0.03624836,1.845407,101089.53,0.01089526,-0.00482694,0.02351023,4
922,0.007,0.01,0.006,7,40,50,101,14,87,0.465347,0.00086327,-0.00603257,0.0871898,1.271463,102623.37,0.02623373,-0.01446397,0.02329521,4
320,0.003,0.01,0.008,9,40,55,64,15,49,0.515625,0.00116002,0.00090428,0.074241,1.348504,102231.93,0.0223193,-0.01410633,0.02263439,4
604,0.005,0.01,0.006,9,35,50,113,0,113,0.433628,0.00074565,-0.00603264,0.08425873,1.226266,102529.3,0.02529303,-0.01266519,0.0226174,4
735,0.007,0.006,0.008,5,40,60,21,15,6,0.666667,0.0016659,0.00592154,0.03498385,1.822521,101051.46,0.01051465,-0.00590187,0.02245212,4
267,0.003,0.01,0.006,5,40,60,22,15,7,0.545455,0.00144654,0.00120822,0.03182382,1.678428,100955.14,0.00955141,-0.00406347,0.020766,4
591,0.005,0.01,0.006,5,40,60,22,15,7,0.545455,0.00144654,0.00120822,0.03182382,1.678428,100955.14,0.00955141,-0.00406347,0.020766,4
391,0.005,0.006,0.006,9,40,50,137,16,121,0.547445,0.00058161,0.00590387,0.07968058,1.218032,102396.87,0.02396865,-0.0113807,0.02068019,4
58,0.003,0.006,0.006,7,40,50,151,16,135,0.549669,0.00052963,0.00590205,0.07997367,1.197694,102403.83,0.02403832,-0.01131209,0.02028492,4
