pair,side,signal_date,entry_date,exit_date,exit_time,entry_price,exit_price,tp_price,sl_price,exit_reason,bar_hold_days,calendar_hold_days,gross_return,spread_cost_pct,net_return,win,signal_close,signal_ma,signal_rsi,signal_prev_high,signal_prev_low,pullback_pct,tp_pct,sl_pct,hold_days,rsi_long_max,rsi_short_min
GBPJPY=X,SHORT,2022-07-26,2022-07-27,2022-07-28,1658966400,164.8509979248047,163.20248794555664,163.20248794555664,165.84010391235353,TP,2,1,0.01,0.00010918951190219996,0.0098908104880978,True,164.44900512695312,164.54291870117189,62.12081635496117,166.1199951171875,161.89999389648438,0.01,0.01,0.006,7,40,60
EURUSD=X,SHORT,2022-08-01,2022-08-02,2022-08-03,1659484800,1.0261356830596924,1.0158743262290955,1.0158743262290955,1.0322924971580505,TP,2,1,0.01,3.898119971886127e-05,0.009961018800281139,True,1.0208247900009155,1.023424711227417,64.14940285036627,1.0433948040008545,1.0025665760040283,0.01,0.01,0.006,7,40,60
EURJPY=X,SHORT,2022-08-22,2022-08-23,2022-08-26,1661472000,136.6999969482422,137.52019692993164,135.33299697875975,137.52019692993164,SL,4,3,-0.006000000000000018,7.31528911722378e-05,-0.006073152891172256,False,137.51499938964844,137.66720886230468,62.86009226607863,139.46800231933594,135.0019989013672,0.01,0.01,0.006,7,40,60
EURJPY=X,LONG,2022-10-03,2022-10-04,2022-10-04,1664841600,142.08299255371094,143.50382247924804,143.50382247924804,141.23049459838867,TP,1,0,0.009999999999999976,7.03814004777507e-05,0.009929618599522225,True,141.80499267578125,141.4491387939453,38.141809966630504,144.4239959716797,138.83299255371094,0.01,0.01,0.006,7,40,60
EURJPY=X,SHORT,2023-02-03,2023-02-06,2023-02-07,1675728000,142.43699645996094,141.01262649536133,141.01262649536133,143.2916184387207,TP,2,1,0.009999999999999976,7.020647899445845e-05,0.009929793521005518,True,140.3800048828125,140.46704040527345,61.126227129694186,141.99200439453125,138.4010009765625,0.01,0.01,0.006,7,40,60
AUDUSD=X,SHORT,2023-03-30,2023-03-31,2023-04-03,1680480000,0.6716818809509277,0.6757119722366333,0.6649650621414185,0.6757119722366333,SL,2,3,-0.005999999999999943,0.00014888000232852176,-0.0061488800023284645,False,0.6682482361793518,0.6689441657066345,60.211197794345615,0.6759798526763916,0.6591001749038696,0.01,0.01,0.006,7,40,60
EURJPY=X,LONG,2023-05-22,2023-05-23,2023-05-24,1684886400,149.91000366210938,149.01054364013672,151.40910369873046,149.01054364013672,SL,2,1,-0.0060000000000000105,6.67066890515163e-05,-0.006066706689051527,False,149.01300048828125,148.18792114257812,39.86667262321365,150.8820037841797,146.76246643066406,0.01,0.01,0.006,7,40,60
EURJPY=X,SHORT,2023-06-01,2023-06-02,2023-06-05,1685923200,149.29400634765625,150.18977038574218,147.80106628417968,150.18977038574218,SL,2,3,-0.005999999999999942,6.698192542782538e-05,-0.006066981925427767,False,148.76300048828125,149.0370001220703,61.64383318324159,151.0489959716797,146.76246643066406,0.01,0.01,0.006,7,40,60
EURUSD=X,LONG,2023-07-06,2023-07-07,2023-07-11,1689033600,1.0890636444091797,1.0999542808532714,1.0999542808532714,1.0825292625427245,TP,3,4,0.009999999999999927,3.672879928123955e-05,0.009963271200718687,True,1.0856584310531616,1.085241618156433,39.49006544524639,1.0992635488510132,1.0707440376281738,0.01,0.01,0.006,7,40,60
EURJPY=X,LONG,2023-07-18,2023-07-19,2023-07-21,1689897600,156.10299682617188,157.6640267944336,157.6640267944336,155.16637884521484,TP,3,2,0.010000000000000014,6.406026920248992e-05,0.009935939730797524,True,155.88699340820312,155.66055908203126,35.96267608735009,157.7740020751953,154.07000732421875,0.01,0.01,0.006,7,40,60
GBPJPY=X,LONG,2023-12-05,2023-12-06,2023-12-07,1701907200,185.35699462890625,184.24485266113282,187.21056457519532,184.24485266113282,SL,2,1,-0.005999999999999933,9.710990424740583e-05,-0.006097109904247339,False,186.1199951171875,186.04291931152343,38.59331411783241,188.44900512695312,184.83900451660156,0.01,0.01,0.006,7,40,60
GBPJPY=X,LONG,2024-02-07,2024-02-08,2024-02-13,1707782400,186.98399353027344,188.85383346557617,188.85383346557617,185.8620895690918,TP,4,5,0.010000000000000005,9.626492439357239e-05,0.009903735075606433,True,186.27999877929688,186.19935974121094,37.00679128199009,188.2310028076172,183.57699584960938,0.01,0.01,0.006,7,40,60
GBPUSD=X,LONG,2024-08-01,2024-08-02,2024-08-12,1723420800,1.2728476524353027,1.2750385999679565,1.2855761289596557,1.265210566520691,TIME,7,10,0.0017212959685017541,9.42767972038189e-05,0.0016270191712979352,True,1.2853139638900757,1.2845459175109863,37.974251715875404,1.3007453680038452,1.2747784852981567,0.01,0.01,0.006,7,40,60
EURJPY=X,SHORT,2024-08-23,2024-08-26,2024-08-27,1724716800,161.09800720214844,162.06459524536132,159.48702713012696,162.06459524536132,SL,2,1,-0.005999999999999935,6.207401428281999e-05,-0.006062074014282755,False,162.5240020751953,163.35272094726562,61.12497159130586,167.28900146484375,157.88999938964844,0.01,0.01,0.006,7,40,60
GBPJPY=X,SHORT,2024-08-23,2024-08-26,2024-08-27,1724716800,190.2469940185547,191.38847598266602,188.34452407836915,191.38847598266602,SL,2,1,-0.006000000000000038,9.461384708262183e-05,-0.00609461384708266,False,191.42999267578125,192.2247607421875,64.80377000434103,198.33900451660156,183.58200073242188,0.01,0.01,0.006,7,40,60
EURJPY=X,SHORT,2024-08-27,2024-08-28,2024-09-02,1725235200,160.9290008544922,161.89457485961915,159.31971084594727,161.89457485961915,SL,4,5,-0.006000000000000089,6.213920391540702e-05,-0.006062139203915496,False,161.32000732421875,162.56372131347655,63.90132022075561,166.41000366210938,157.88999938964844,0.01,0.01,0.006,7,40,60
GBPJPY=X,SHORT,2024-08-27,2024-08-28,2024-09-02,1725235200,190.8520050048828,191.99711703491212,188.943484954834,191.99711703491212,SL,4,5,-0.006000000000000068,9.431391616524796e-05,-0.006094313916165316,False,190.62600708007812,191.20080078125,71.71129614231265,197.81199645996094,183.58200073242188,0.01,0.01,0.006,7,40,60
USDJPY=X,LONG,2024-09-23,2024-09-24,2024-09-26,1727308800,143.63800048828125,145.07438049316406,145.07438049316406,142.77617248535157,TP,3,2,0.00999999999999996,4.1771675876882676e-05,0.009958228324123077,True,144.00399780273438,143.8202392578125,38.05592546847068,146.7220001220703,140.7899932861328,0.01,0.01,0.006,7,40,60
